state,action,reward,next_state,done,game_name
You open the front door.,s,0,"
Driveway
This is quite a seedy neighborhood, but there isn't really anywhere in the whole Las Mesas metro area that isn't at least a little rundown. Of course, the locals may complain about the ugliness and the crime, but the fact is that a starter home like this one would cost easily five times as much in someplace like Las Playas - and that's if you could find one.

The house lies to the north. A car is parked here in the driveway.",False,train/training_data_905.z5_p_rand_0.5.csv
"
Driveway
This is quite a seedy neighborhood, but there isn't really anywhere in the whole Las Mesas metro area that isn't at least a little rundown. Of course, the locals may complain about the ugliness and the crime, but the fact is that a starter home like this one would cost easily five times as much in someplace like Las Playas - and that's if you could find one.

The house lies to the north. A car is parked here in the driveway.",unlock car,0,Unlocked.,False,train/training_data_905.z5_p_rand_0.5.csv
Unlocked.,enter car,0,"You climb inside and start up the engine.

Driving
Ah, scenic Las Mesas. Man, this place is an absolute toilet. Soon you'll be able to afford to get the hell out of here - provided you can avoid making any more slip-ups on the job.

As you cruise down the road, you notice a freeway onramp approaching. Would you like to get on?",False,train/training_data_905.z5_p_rand_0.5.csv
"You climb inside and start up the engine.

Driving
Ah, scenic Las Mesas. Man, this place is an absolute toilet. Soon you'll be able to afford to get the hell out of here - provided you can avoid making any more slip-ups on the job.

As you cruise down the road, you notice a freeway onramp approaching. Would you like to get on?",no,0,"
It turns out that the ramp was blocked anyway - some sort of maintenance work. You keep driving.

As you cruise down the road, you see the familiar Loungent Technologies building approaching. Would you like to stop here?",False,train/training_data_905.z5_p_rand_0.5.csv
"
It turns out that the ramp was blocked anyway - some sort of maintenance work. You keep driving.

As you cruise down the road, you see the familiar Loungent Technologies building approaching. Would you like to stop here?",no,0,"
Soon the Loungent building is in your rear-view mirror. You keep driving.

As you cruise down the road, you notice another freeway onramp approaching. Would you like to get on?",False,train/training_data_905.z5_p_rand_0.5.csv
"
Soon the Loungent building is in your rear-view mirror. You keep driving.

As you cruise down the road, you notice another freeway onramp approaching. Would you like to get on?",yes,1,"
You merge onto the freeway, crank up the radio, and vanish without a trace.


    *** You have left Las Mesas ***


Written and programmed by Adam Cadre. Tested by Alexandra Hoffer. v1.00 tested by Liza Daly. Additional thanks to Elizabeth Sweeney, Jonathan Blask, and Jonatan Bleicher.

Would you like to RESTART, RESTORE a saved game or QUIT",True,train/training_data_905.z5_p_rand_0.5.csv
"


The phone rings.

Oh, no - how long have you been asleep? Sure, it was a tough night, but... This is bad. This is very bad.

The phone rings.

  -----
9:05 by Adam Cadre
v1.11 (2012.0724) / Original release 2000.0103
  -----

Bedroom (in bed)
This bedroom is extremely spare, with dirty laundry scattered haphazardly all over the floor. Cleaner clothing can be found in the dresser. A bathroom lies to the south, while a door to the east leads to the living room.

On the end table are a telephone, a wallet and some keys.

The phone rings.",answer phone,0,"You pick up the phone. ""Hadley!"" a shrill voice cries. ""Hadley, haven't you even left yet?? You knew that our presentation was at nine o'clock sharp! First the thing with the printers, now this - there won't even be enough left of you for Bowman to fire once he's done with you. Now get the hell down here!!""

Click.",False,train/training_data_905.z5_p_rand_0.5.csv
"You pick up the phone. ""Hadley!"" a shrill voice cries. ""Hadley, haven't you even left yet?? You knew that our presentation was at nine o'clock sharp! First the thing with the printers, now this - there won't even be enough left of you for Bowman to fire once he's done with you. Now get the hell down here!!""

Click.",stand up,0,"You get out of bed.

Bedroom
This bedroom is extremely spare, with dirty laundry scattered haphazardly all over the floor. Cleaner clothing can be found in the dresser. A bathroom lies to the south, while a door to the east leads to the living room.

On the end table are a telephone, a wallet and some keys.",False,train/training_data_905.z5_p_rand_0.5.csv
"You get out of bed.

Bedroom
This bedroom is extremely spare, with dirty laundry scattered haphazardly all over the floor. Cleaner clothing can be found in the dresser. A bathroom lies to the south, while a door to the east leads to the living room.

On the end table are a telephone, a wallet and some keys.",s,0,"
Bathroom
This is a far from luxurious but still quite functional bathroom, with a sink, toilet and shower. The bedroom lies to the north.",False,train/training_data_905.z5_p_rand_0.5.csv
"
Bathroom
This is a far from luxurious but still quite functional bathroom, with a sink, toilet and shower. The bedroom lies to the north.",get in toilet,0,Good idea. A few moments and a loud flush later you feel much better.,False,train/training_data_905.z5_p_rand_0.5.csv
You take off the gold watch.,remove clothes,0,You take off the soiled clothing.,False,train/training_data_905.z5_p_rand_0.5.csv
You take off the soiled clothing.,put on clothing,0,You put on the soiled clothing.,False,train/training_data_905.z5_p_rand_0.5.csv
"soiled clothing: Dropped.
gold watch: Dropped.",enter shower,0,"You step into the shower, turn on the water, and within a few moments you feel like a new man. But no time to dawdle - you hop back out again and dry off in record time.",False,train/training_data_905.z5_p_rand_0.5.csv
"You step into the shower, turn on the water, and within a few moments you feel like a new man. But no time to dawdle - you hop back out again and dry off in record time.",put on watch,0,"(first taking the gold watch)
You put on the gold watch.",False,train/training_data_905.z5_p_rand_0.5.csv
Taken.,wear watch,0,You put on the gold watch.,False,train/training_data_905.z5_p_rand_0.5.csv
You put on the gold watch.,take off watch,0,You take off the gold watch.,False,train/training_data_905.z5_p_rand_0.5.csv
"
Bedroom
This bedroom is extremely spare, with dirty laundry scattered haphazardly all over the floor. Cleaner clothing can be found in the dresser. A bathroom lies to the south, while a door to the east leads to the living room.

On the end table are a telephone, a wallet and some keys.",get all from table,0,"wallet: Removed.
keys: Removed.",False,train/training_data_905.z5_p_rand_0.5.csv
"wallet: Removed.
keys: Removed.",south,0,"
Bathroom
This is a far from luxurious but still quite functional bathroom, with a sink, toilet and shower. The bedroom lies to the north.

You can also see some soiled clothing here.",False,train/training_data_905.z5_p_rand_0.5.csv
"You open the dresser, revealing some clean clothing.",take clothing,0,Taken.,False,train/training_data_905.z5_p_rand_0.5.csv
Taken.,wear clothes,0,You put on the clean clothing.,False,train/training_data_905.z5_p_rand_0.5.csv
You put on the clean clothing.,get in bed,0,You get back into bed.,False,train/training_data_905.z5_p_rand_0.5.csv
"
Living room
The furniture isn't as carefully arranged as one might like, and it's a bit lacking in the luxuries that might make this a more pleasant place to spend an evening - no stereo, no TV, no DVD, none of that - but this living room is still nicer than most of those in this neighborhood. A kitchenette lies to the east, the bedroom to the west and the front door to the south.",open front door,0,You open the front door.,False,train/training_data_905.z5_p_rand_0.5.csv
You open the front door.,s,0,"
Driveway
This is quite a seedy neighborhood, but there isn't really anywhere in the whole Las Mesas metro area that isn't at least a little rundown. Of course, the locals may complain about the ugliness and the crime, but the fact is that a starter home like this one would cost easily five times as much in someplace like Las Playas - and that's if you could find one.

The house lies to the north. A car is parked here in the driveway.",False,train/training_data_905.z5_p_rand_0.5.csv
"
Driveway
This is quite a seedy neighborhood, but there isn't really anywhere in the whole Las Mesas metro area that isn't at least a little rundown. Of course, the locals may complain about the ugliness and the crime, but the fact is that a starter home like this one would cost easily five times as much in someplace like Las Playas - and that's if you could find one.

The house lies to the north. A car is parked here in the driveway.",put keys down,0,Dropped.,False,train/training_data_905.z5_p_rand_0.5.csv
